,vtuber,music,original,collab,collabVTuber,id,channelId,publishedAt,memo
119,天神子兎音,打上花火,米津玄師,True,樋口楓,n0da64FMiDM,UCAr7rLi_Wn09G-XfTA07d4g,2019-01-14 21:00:08,
120,天神子兎音,ビバハピ,Mitchie M,True,響木アオ,1NkouNWZ4so,UCAr7rLi_Wn09G-XfTA07d4g,2019-01-11 20:58:16,
121,樋口楓,seventh haven,Tokyo 7th シスターズ,True,天神子兎音,N8K73cMLbAg,UCsg-YqdqQ-KFF0LNk23BY4A,2018-12-31 23:58:18,
122,天神子兎音,そこに空があるから,ポケットモンスター,False,,y0ASPri61Y4,UCAr7rLi_Wn09G-XfTA07d4g,2018-12-21 21:00:10,
123,天神子兎音,初めての恋が終わる時,ryo,False,,6VEw5zVsjlQ,UCAr7rLi_Wn09G-XfTA07d4g,2018-12-14 21:00:00,
124,天神子兎音,敗北の少年,kemu,False,,QAQLbMLI_rM,UCAr7rLi_Wn09G-XfTA07d4g,2018-12-07 21:00:06,
125,天神子兎音,only my railgun,fripSide,False,,7l2Wp_LB9ts,UCAr7rLi_Wn09G-XfTA07d4g,2018-11-30 21:00:01,
126,天神子兎音,ゴーストルール,DECO*27,False,,QOmCr33TkBs,UCAr7rLi_Wn09G-XfTA07d4g,2018-11-16 21:00:03,
127,天神子兎音,クノイチでも恋がしたい,みきとP,False,,r6-gB_ypjsM,UCAr7rLi_Wn09G-XfTA07d4g,2018-11-09 19:00:04,
128,天神子兎音,God Knows...,涼宮ハルヒの憂鬱,False,,qKmBRuHyOdE,UCAr7rLi_Wn09G-XfTA07d4g,2018-10-27 22:00:07,
129,天神子兎音,エイリアンエイリアン,ナユタン星人,False,,WMLT4pxwWM0,UCAr7rLi_Wn09G-XfTA07d4g,2018-10-13 20:00:16,
130,天神子兎音,東京テディベア,Neru,False,,J9ZT1Y3mcKw,UCAr7rLi_Wn09G-XfTA07d4g,2018-10-05 21:00:01,
131,天神子兎音,チュルリラ・チュルリラ・ダッダッダ！,和田たけあき,False,,8SIDO8pWAlI,UCAr7rLi_Wn09G-XfTA07d4g,2018-09-28 21:00:03,
132,天神子兎音,いかないで,想太,False,,Yj6aOAJ6l1Y,UCAr7rLi_Wn09G-XfTA07d4g,2018-09-21 21:00:04,
133,天神子兎音,またあした,ふわりP,False,,wp9DGNwD7Hs,UCAr7rLi_Wn09G-XfTA07d4g,2018-09-14 21:00:10,
134,天神子兎音,1925,とみー,False,,KRq6k_eo1wo,UCAr7rLi_Wn09G-XfTA07d4g,2018-09-07 21:00:03,
135,天神子兎音,ロキ,みきとP,False,,4knjZf6neh4,UCAr7rLi_Wn09G-XfTA07d4g,2018-08-31 21:00:01,
136,天神子兎音,calc.,ジミーサムP,False,,ZgKDt3zvf9Q,UCAr7rLi_Wn09G-XfTA07d4g,2018-08-17 21:00:07,
137,天神子兎音,メルト,ryo,False,,TpNNEAnJHrE,UCAr7rLi_Wn09G-XfTA07d4g,2018-08-10 21:00:05,
138,天神子兎音,シャルル,バルーン,False,,7SNFxThH1Bc,UCAr7rLi_Wn09G-XfTA07d4g,2018-08-03 21:00:00,
139,天神子兎音,フーアーユーなんて言わないで,天神子兎音,False,,lB0TkRmEXQA,UCAr7rLi_Wn09G-XfTA07d4g,2018-07-27 12:00:04,
140,天神子兎音,千本桜,黒うさP,False,,hvFlaniw3rw,UCAr7rLi_Wn09G-XfTA07d4g,2018-05-11 20:45:00,
141,キズナアイ,AIAIAI,キズナアイ,False,,S8dmq5YIUoc,UC4YaOt1yT-ZeyB0OmxHgolA,2019-03-29 18:58:15,
142,キズナアイ,mirai,キズナアイ,False,,HRCqXIBFRhU,UC4YaOt1yT-ZeyB0OmxHgolA,2018-12-21 18:57:44,
143,キズナアイ,meet you,キズナアイ,False,,w3nSFJ4MQ7M,UC4YaOt1yT-ZeyB0OmxHgolA,2018-12-14 18:58:19,
